city,year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
North Reading,2000,240,31,14567219.0,366062.0,,129626007,465337.0,14,8019773.0,486686.5,4,1281218.0,265395.0,6738555.0,664312.0,226,121606234.0,465337.0,27,13286001.0,366062.0,108320233.0,481372.0,91.20478658280624,8.795213417193768,12.903225806451612,87.09677419354838,5.833333333333333,94.16666666666667,10.925427556616874,15.97573896418265,28.57142857142857,11.946902654867257
North Reading,2001,231,27,10957250.0,286007.0,,121642049,479425.0,17,9947637.0,472551.0,5,2714163.0,429592.0,7233474.0,489735.0,214,111694412.0,479425.0,22,8243087.0,280953.5,103451325.0,481143.0,75.22952383125327,24.77047616874672,18.51851851851852,81.48148148148148,7.35930735930736,92.64069264069265,7.380035269803829,27.284499826441195,29.411764705882355,10.2803738317757
North Reading,2002,252,38,16899995.0,315923.0,,149071582,529273.5,25,11781059.0,377302.0,13,4184630.0,237968.0,7596429.0,584663.0,227,137290523.0,541582.0,25,12715365.0,459524.0,124575158.0,541582.0,75.2388684138664,24.761131586133605,34.21052631578947,65.78947368421053,9.920634920634921,90.07936507936508,9.261648016301898,35.5199816926475,52.0,11.013215859030836
North Reading,2003,288,31,17075190.0,424464.0,,178857467,554948.0,20,10727317.0,431538.5,5,2828439.0,424464.0,7898878.0,438613.0,268,168130150.0,567878.0,26,14246751.0,445687.5,153883399.0,581673.0,83.43538783463025,16.564612165369756,16.129032258064516,83.87096774193549,6.944444444444445,93.05555555555556,8.473644376097923,26.36669541880789,25.0,9.701492537313433
North Reading,2004,273,27,10596459.0,441342.0,,180860972,601139.0,23,13751620.0,471780.0,5,1688515.0,380468.0,12063105.0,502217.5,250,167109352.0,608748.0,22,8907944.0,451234.5,158201408.0,629293.5,84.06529011248003,15.934709887519974,18.51851851851852,81.48148148148148,8.424908424908425,91.57509157509158,5.330607708897106,12.278662441225107,21.73913043478261,8.799999999999999
North Reading,2005,242,36,22200293.0,512715.5,,167932401,592562.0,28,23576877.0,659226.0,7,3718183.0,577600.0,19858694.0,752554.0,214,144355524.0,592562.0,29,18482110.0,506939.0,125873414.0,599969.0,83.25164897598424,16.748351024015765,19.444444444444446,80.55555555555556,11.570247933884298,88.42975206611571,12.80318860537682,15.770464425801602,25.0,13.551401869158877
North Reading,2006,244,46,23554084.0,482133.0,,149675645,539116.0,27,17199949.0,458152.0,13,8303068.0,436676.0,8896881.0,490365.5,217,132475696.0,544055.0,33,15251016.0,533317.0,117224680.0,558301.0,64.74892422053009,35.25107577946992,28.26086956521739,71.73913043478261,11.065573770491802,88.9344262295082,11.512312416913062,48.27379430020403,48.148148148148145,15.207373271889402
North Reading,2007,253,37,19022941.0,549423.0,,140615219,529217.0,20,7891374.0,346300.0,8,2119808.0,314547.0,5771566.0,349283.0,233,132723845.0,536273.0,29,16903133.0,564357.0,115820712.0,529217.0,88.85657060072887,11.143429399271122,21.62162162162162,78.37837837837837,7.905138339920949,92.09486166007905,12.735566092136647,26.862343617220525,40.0,12.446351931330472
North Reading,2008,187,49,20714157.0,384149.0,,99003701,483377.0,24,7784152.0,326280.5,21,6354737.0,310742.0,1429415.0,441945.0,163,91219549.0,517904.0,28,14359420.0,469566.0,76860129.0,524809.0,69.32176868216264,30.678231317837362,42.857142857142854,57.14285714285714,12.834224598930483,87.16577540106952,15.74160380906948,81.636856525926,87.5,17.177914110429448
North Reading,2009,205,41,16634021.0,403451.0,,103442800,468116.0,17,7895891.0,453908.0,8,3145854.0,428679.5,4750037.0,513100.0,188,95546909.0,474441.5,33,13488167.0,400639.0,82058742.0,489202.0,81.08783198001252,18.912168019987472,19.51219512195122,80.48780487804879,8.292682926829269,91.70731707317074,14.116800994577439,39.841659415004585,47.05882352941176,17.5531914893617
