city,year,proptype,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
Acton,2012,LND,7,2,686618.0,343309.0,,4150668,480633.0,4,1769476.0,359475.5,1,205985.0,205985.0,1563491.0,464902.0,3,2381192.0,861019.0,1,480633.0,480633.0,1900559.0,950279.5,70.00005825655606,29.99994174344395,50.0,50.0,57.14285714285714,42.857142857142854,20.184554626422397,11.641016888615614,25.0,33.33333333333333
Acton,2012,R1F,188,31,16303509.0,487499.0,,126807708,642674.5,24,14733735.0,578476.0,10,4357996.0,429136.5,10375739.0,736741.5,164,112073973.0,655720.5,21,11945513.0,612464.0,100128460.0,666020.0,73.26958264015434,26.730417359845664,32.25806451612903,67.74193548387096,12.76595744680851,87.2340425531915,10.658596889395543,29.5783519928925,41.66666666666667,12.804878048780488
Acton,2012,R2F,5,0,0.0,,,2794537,528696.0,1,631689.0,631689.0,0,0.0,,631689.0,631689.0,4,2162848.0,504664.5,0,0.0,,2162848.0,504664.5,,,,,20.0,80.0,0.0,0.0,0.0,0.0
Acton,2012,RCD,119,55,15089327.0,212852.0,,46278675,304859.0,22,7082347.0,213332.0,15,4359130.0,192253.0,2723217.0,234411.0,97,39196328.0,322711.0,40,10730197.0,213882.0,28466131.0,391372.0,71.11117016683382,28.888829833166184,27.27272727272727,72.72727272727273,18.487394957983195,81.5126050420168,27.375515890161957,61.549229372692416,68.18181818181817,41.23711340206185
Acton,2013,LND,10,2,871272.0,435636.0,,7897092,831791.5,2,1667666.0,833833.0,0,0.0,,1667666.0,833833.0,8,6229426.0,831791.5,2,871272.0,435636.0,5358154.0,841577.0,100.0,0.0,0.0,100.0,20.0,80.0,13.986392967827213,0.0,0.0,25.0
Acton,2013,R1F,217,36,24265069.0,646536.5,,150444684,649911.0,27,16582250.0,418427.0,13,9613559.0,604666.0,6968691.0,365111.0,190,133862434.0,660709.0,23,14651510.0,660034.0,119210924.0,661384.0,60.381077012391756,39.61892298760824,36.11111111111111,63.888888888888886,12.442396313364055,87.55760368663594,10.945199158712443,57.974997361636696,48.148148148148145,12.105263157894736
Acton,2013,R2F,3,0,0.0,,,1845801,661384.0,0,0.0,,0,0.0,,0.0,,3,1845801.0,661384.0,0,0.0,,1845801.0,661384.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2013,RCD,134,57,15887849.0,217312.0,,47843420,275351.5,20,4673275.0,165970.0,18,3793904.0,153147.0,879371.0,439685.5,114,43170145.0,310378.5,39,12093945.0,228785.0,31076200.0,353638.0,76.12071967703116,23.879280322968828,31.57894736842105,68.42105263157895,14.925373134328357,85.07462686567165,28.014603610898227,81.18298195590886,90.0,34.21052631578947
Acton,2014,LND,5,2,699752.0,349876.0,,3799589,902484.0,1,176573.0,176573.0,1,176573.0,176573.0,0.0,,4,3623016.0,928643.0,1,523179.0,523179.0,3099837.0,954802.0,74.76634579108027,25.23365420891973,50.0,50.0,20.0,80.0,14.440427533303746,100.0,100.0,25.0
Acton,2014,R1F,217,25,17453496.0,699752.0,,154713013,686673.0,24,18052961.0,733762.0,9,7401032.0,761232.0,10651929.0,706292.0,193,136660052.0,680133.0,16,10052464.0,614081.5,126607588.0,680133.0,57.59570460840625,42.404295391593756,36.0,64.0,11.059907834101383,88.94009216589862,7.355817484980907,40.99622217097794,37.5,8.290155440414509
Acton,2014,R2F,1,0,0.0,,,1297485,1297485.0,1,1297485.0,1297485.0,0,0.0,,1297485.0,1297485.0,0,0.0,,0,0.0,,0.0,,,,,,100.0,0.0,,0.0,0.0,
Acton,2014,RCD,113,46,10628311.0,205348.0,,44343688,281209.0,16,4044293.0,199462.0,11,2105915.0,178535.0,1938378.0,497020.0,97,40299395.0,297166.0,35,8522396.0,209272.0,31776999.0,357069.5,80.18579810094003,19.81420189905997,23.91304347826087,76.08695652173914,14.15929203539823,85.84070796460178,21.147702093294452,52.07127673489532,68.75,36.08247422680412
Acton,2015,LND,6,0,0.0,,,4173689,639352.0,4,1764611.0,489104.0,0,0.0,,1764611.0,489104.0,2,2409078.0,1204539.0,0,0.0,,2409078.0,1204539.0,,,,,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0
Acton,2015,R1F,224,25,13736839.0,537119.0,,161274769,680270.5,22,13586064.0,591400.5,10,4486170.0,431032.5,9099894.0,685705.0,202,147688705.0,690500.0,15,9250669.0,559433.0,138438036.0,690500.0,67.34205008881592,32.65794991118408,40.0,60.0,9.821428571428571,90.17857142857143,6.263626592162211,33.02038029557347,45.45454545454545,7.425742574257425
Acton,2015,R2F,4,1,438066.0,438066.0,,2204211,554692.5,1,438066.0,438066.0,1,438066.0,438066.0,0.0,,3,1766145.0,671319.0,0,0.0,,1766145.0,671319.0,0.0,100.0,100.0,0.0,25.0,75.0,0.0,100.0,100.0,0.0
Acton,2015,RCD,150,55,16246042.0,225052.0,,56579813,282977.0,25,6464407.0,185412.0,21,4859186.0,163035.0,1605221.0,204816.5,125,50115406.0,318397.0,34,11386856.0,312643.0,38728550.0,318397.0,70.09003177512406,29.909968224875943,38.18181818181819,61.81818181818181,16.666666666666664,83.33333333333334,22.721268585552316,75.16831783642336,84.0,27.200000000000003
